Date,Open,High,Low,Close,Volume,Adj. Close
13-02-2016,382.25,389.35,380.52,387.9,7711.179508,387.9
14-02-2016,387.9,401.22,386.85,400.45,8665.212039,400.45
15-02-2016,400.45,409.71,396,401.15,9113.796236,401.15
16-02-2016,401,407.8,393.4,405.53,7808.708875,405.53
17-02-2016,406.48,420,403.96,418.84,9914.200931,418.84
18-02-2016,418.84,424.9,412.02,417.49,10265.24548,417.49
19-02-2016,417.46,422,414,419.54,6003.403459,419.54
20-02-2016,419.91,433.37,416.66,430,6522.151835,430
21-02-2016,429.38,447.99,425.98,430.86,15589.71464,430.86
22-02-2016,431.97,439,430.9,437.52,4979.217816,437.52
23-02-2016,437.95,440,416.36,421.9,9180.997579,421.9
24-02-2016,421.9,424.19,409.07,423.96,9345.022207,423.96
25-02-2016,422.24,426.75,415.79,422.43,5582.392134,422.43
26-02-2016,422.43,425,418.01,424.5,4107.90865,424.5
27-02-2016,424.44,435,422.01,431.42,5033.370606,431.42
28-02-2016,431.42,435,422.29,432.84,3459.185632,432.84
29-02-2016,431.94,440.99,428.12,436.02,7468.123203,436.02
1/3/2016,436.24,437.64,427.33,432.67,5977.853281,432.67
2/3/2016,432.03,434.5,427.01,430.48,6275.771648,430.48
3/3/2016,429.45,430.98,415.85,421.6,7151.390095,421.6
4/3/2016,421.6,423.9,416,420.69,6395.224187,420.69
5/3/2016,420.69,420.69,382,394.66,16618.70794,394.66
6/3/2016,395.45,411.26,390,411.26,8132.153966,411.26
7/3/2016,411.26,412.31,403,410.25,5473.316055,410.25
8/3/2016,410.24,414.99,408.46,411.8,5944.893691,411.8
9/3/2016,411.8,413.5,408.75,412,4920.609729,412
10/3/2016,411.53,416.9,409.31,415.98,5770.769805,415.98
11/3/2016,415.8,421.91,414.7,420.96,5766.110587,420.96
12/3/2016,420.5,421.6,409.62,409.62,4489.631256,409.62
13-03-2016,409.62,417,406.59,412.5,3708.727833,412.5
14-03-2016,412.09,415.22,410.5,413.73,3943.045257,413.73
15-03-2016,413.75,417.43,411.5,415.25,4449.530165,415.25
16-03-2016,415.25,417.3,413.15,414.8,4289.516118,414.8
17-03-2016,414.8,419,413.67,418.94,4462.774385,418.94
18-03-2016,418.79,419,406.66,407.98,4432.630047,407.98
